,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,open_url,artist_name,title
2141,0.383,0.728,0,-6.379,1,0.0602,0.046,0.000742,0.112,0.558,132.029,audio_features,1l4RosxGDjtluvrtLEZ04l,spotify:track:1l4RosxGDjtluvrtLEZ04l,https://api.spotify.com/v1/tracks/1l4RosxGDjtluvrtLEZ04l,https://api.spotify.com/v1/audio-analysis/1l4RosxGDjtluvrtLEZ04l,222400,4,https://open.spotify.com/track/1l4RosxGDjtluvrtLEZ04l,Plasmatics,Lightning Breaks
2142,0.692,0.336,11,-12.709,0,0.0815,0.627,0.0,0.107,0.472,117.922,audio_features,51tmDfnCF89JvbdNmksW3E,spotify:track:51tmDfnCF89JvbdNmksW3E,https://api.spotify.com/v1/tracks/51tmDfnCF89JvbdNmksW3E,https://api.spotify.com/v1/audio-analysis/51tmDfnCF89JvbdNmksW3E,263000,4,https://open.spotify.com/track/51tmDfnCF89JvbdNmksW3E,Jason Mraz,The Dynamo Of Volition [From An All Night Session]
2143,0.595,0.717,2,-8.908,1,0.0334,0.708,0.00302,0.28,0.787,118.629,audio_features,3w7JOstC58U7VxTQcm7GIN,spotify:track:3w7JOstC58U7VxTQcm7GIN,https://api.spotify.com/v1/tracks/3w7JOstC58U7VxTQcm7GIN,https://api.spotify.com/v1/audio-analysis/3w7JOstC58U7VxTQcm7GIN,171040,4,https://open.spotify.com/track/3w7JOstC58U7VxTQcm7GIN,The Paul Butterfield Blues Band,All In A Day (Live @ The Troubadour_ LosAngeles)
2144,0.416,0.583,11,-7.994,1,0.037,0.0383,0.0,0.116,0.185,140.001,audio_features,5O306r2a9Nl7rm5ZlaTqka,spotify:track:5O306r2a9Nl7rm5ZlaTqka,https://api.spotify.com/v1/tracks/5O306r2a9Nl7rm5ZlaTqka,https://api.spotify.com/v1/audio-analysis/5O306r2a9Nl7rm5ZlaTqka,507307,4,https://open.spotify.com/track/5O306r2a9Nl7rm5ZlaTqka,Joi,The Blessing
2145,0.71,0.743,1,-10.553,1,0.0507,0.273,0.000406,0.258,0.866,120.277,audio_features,37CRPk0L5ZpfPeePEPwE0t,spotify:track:37CRPk0L5ZpfPeePEPwE0t,https://api.spotify.com/v1/tracks/37CRPk0L5ZpfPeePEPwE0t,https://api.spotify.com/v1/audio-analysis/37CRPk0L5ZpfPeePEPwE0t,266160,4,https://open.spotify.com/track/37CRPk0L5ZpfPeePEPwE0t,Ashes to Ashes,Drive In Saturday - (Tribute to David Bowie)
2146,0.0776,0.191,6,-17.012,1,0.0389,0.39,0.89,0.124,0.0433,82.251,audio_features,7pOhojX3ZoIH0C29BPTxxf,spotify:track:7pOhojX3ZoIH0C29BPTxxf,https://api.spotify.com/v1/tracks/7pOhojX3ZoIH0C29BPTxxf,https://api.spotify.com/v1/audio-analysis/7pOhojX3ZoIH0C29BPTxxf,231373,4,https://open.spotify.com/track/7pOhojX3ZoIH0C29BPTxxf,Melanie And The Secret Army,Held Der Tastatur
2147,0.366,0.871,9,-6.243,0,0.0823,0.0933,0.579,0.0693,0.19,149.745,audio_features,0KoIrrbZr8rMXhFQK8T5Eg,spotify:track:0KoIrrbZr8rMXhFQK8T5Eg,https://api.spotify.com/v1/tracks/0KoIrrbZr8rMXhFQK8T5Eg,https://api.spotify.com/v1/audio-analysis/0KoIrrbZr8rMXhFQK8T5Eg,183946,4,https://open.spotify.com/track/0KoIrrbZr8rMXhFQK8T5Eg,Rihanna,Music Of The Sun
2148,0.796,0.543,1,-7.994,1,0.164,0.0486,0.00584,0.124,0.784,91.212,audio_features,2KBo6O5rkNdtYT3wYjkEkq,spotify:track:2KBo6O5rkNdtYT3wYjkEkq,https://api.spotify.com/v1/tracks/2KBo6O5rkNdtYT3wYjkEkq,https://api.spotify.com/v1/audio-analysis/2KBo6O5rkNdtYT3wYjkEkq,235213,4,https://open.spotify.com/track/2KBo6O5rkNdtYT3wYjkEkq,Slum Village,Estimate
2149,0.634,0.573,7,-8.632,1,0.0738,0.0154,0.0,0.109,0.0915,100.944,audio_features,6TgsqKN2KXsE6s0SZBuheU,spotify:track:6TgsqKN2KXsE6s0SZBuheU,https://api.spotify.com/v1/tracks/6TgsqKN2KXsE6s0SZBuheU,https://api.spotify.com/v1/audio-analysis/6TgsqKN2KXsE6s0SZBuheU,184059,4,https://open.spotify.com/track/6TgsqKN2KXsE6s0SZBuheU,Mons Leidvin Takle,Du Er Venta I Himlen
2150,0.728,0.796,4,-5.33,1,0.0461,0.162,9.28e-06,0.196,0.691,117.925,audio_features,5nsFJfYtAFZmL9PbtYKYcA,spotify:track:5nsFJfYtAFZmL9PbtYKYcA,https://api.spotify.com/v1/tracks/5nsFJfYtAFZmL9PbtYKYcA,https://api.spotify.com/v1/audio-analysis/5nsFJfYtAFZmL9PbtYKYcA,180147,4,https://open.spotify.com/track/5nsFJfYtAFZmL9PbtYKYcA,SNAP!,Do You See The Light (Deep Ethno Mix)
2151,0.747,0.523,7,-12.22,0,0.0755,0.000216,0.00821,0.113,0.229,136.105,audio_features,3UyXG4kEUjn7yYVDsAtaTD,spotify:track:3UyXG4kEUjn7yYVDsAtaTD,https://api.spotify.com/v1/tracks/3UyXG4kEUjn7yYVDsAtaTD,https://api.spotify.com/v1/audio-analysis/3UyXG4kEUjn7yYVDsAtaTD,147375,4,https://open.spotify.com/track/3UyXG4kEUjn7yYVDsAtaTD,Primordial,The Burning Season (Live)
2152,0.171,0.944,3,-5.856,1,0.352,0.0789,0.278,0.297,0.129,83.98,audio_features,6G3KeATPar9DGXx3McoQbB,spotify:track:6G3KeATPar9DGXx3McoQbB,https://api.spotify.com/v1/tracks/6G3KeATPar9DGXx3McoQbB,https://api.spotify.com/v1/audio-analysis/6G3KeATPar9DGXx3McoQbB,382147,4,https://open.spotify.com/track/6G3KeATPar9DGXx3McoQbB,Phantomsmasher,Bishop Hopping
2153,0.173,0.975,2,-2.856,1,0.113,0.000672,0.0886,0.316,0.133,74.673,audio_features,37emGPAfIkznWbgmfZsjcr,spotify:track:37emGPAfIkznWbgmfZsjcr,https://api.spotify.com/v1/tracks/37emGPAfIkznWbgmfZsjcr,https://api.spotify.com/v1/audio-analysis/37emGPAfIkznWbgmfZsjcr,306827,4,https://open.spotify.com/track/37emGPAfIkznWbgmfZsjcr,Arkona,Skvoz' Tuman Vekov
2154,0.321,0.82,0,-4.459,0,0.0422,0.00305,0.0,0.34,0.198,166.859,audio_features,2QZxpZDfJjhEGclSszvMVX,spotify:track:2QZxpZDfJjhEGclSszvMVX,https://api.spotify.com/v1/tracks/2QZxpZDfJjhEGclSszvMVX,https://api.spotify.com/v1/audio-analysis/2QZxpZDfJjhEGclSszvMVX,249320,4,https://open.spotify.com/track/2QZxpZDfJjhEGclSszvMVX,Smash Palace,It's All Because
2155,0.63,0.799,3,-5.232,0,0.0375,0.00312,0.00159,0.0834,0.702,96.006,audio_features,5tvBQ9zlAxMzAt7GI7ik2n,spotify:track:5tvBQ9zlAxMzAt7GI7ik2n,https://api.spotify.com/v1/tracks/5tvBQ9zlAxMzAt7GI7ik2n,https://api.spotify.com/v1/audio-analysis/5tvBQ9zlAxMzAt7GI7ik2n,206413,4,https://open.spotify.com/track/5tvBQ9zlAxMzAt7GI7ik2n,Taboo,Dab_dab_doo-Party In The Jungle
